iter	Passed	Remaining
0	4	476
1	9	486
2	15	500
3	19	466
4	24	462
5	27	424
6	30	406
7	32	377
8	34	345
9	35	319
10	37	300
11	38	281
12	40	270
13	45	276
14	48	273
15	49	258
16	50	246
17	52	237
18	53	228
19	56	227
20	60	227
21	64	228
22	67	227
23	69	219
24	73	220
25	76	218
26	81	219
27	83	215
28	86	211
29	91	212
30	95	212
31	98	209
32	100	203
33	103	200
34	106	197
35	107	191
36	109	186
37	114	186
38	117	183
39	118	178
40	123	177
41	125	172
42	128	170
43	133	169
44	137	167
45	141	166
46	146	165
47	150	163
48	155	161
49	159	159
50	162	155
51	166	153
52	170	151
53	174	148
54	174	143
55	179	140
56	183	138
57	187	135
58	191	133
59	196	131
60	201	129
61	206	126
62	209	123
63	212	119
64	217	116
65	219	112
66	221	109
67	224	105
68	227	102
69	229	98
70	231	94
71	232	90
72	234	86
73	235	82
74	236	78
75	237	75
76	239	71
77	241	68
78	244	64
79	249	62
80	252	59
81	254	55
82	258	53
83	262	49
84	264	46
85	266	43
86	268	40
87	272	37
88	274	33
89	276	30
90	277	27
91	281	24
92	282	21
93	285	18
94	288	15
95	293	12
96	294	9
97	295	6
98	296	2
99	299	0
